poi_id,category,name_ko,lat,lon,address_ko,website,phone,open_hours_text,closed_days_text,ticket_price_text,rag_seed_text_ko,source_urls,source_updated_at
KOP006886,미술관&박물관,경희대학교 한의학역사박물관,37.593744992,127.053220669,"02453 서울 동대문구 경희대로 26-6 (회기동, 경희대학교)",,02-964-3190,10:00~16:00,-주말 -공휴일,,"경희대학교 한의학역사박물관 내부사진입니다. 관람자 준수사항에 대한 설명과 함께 여러 인물들의 초상화와 각종 도구들의 그림이 있습니다. 경희대학교 한의학 역사박물관에는 고전 의서, 임상기록, 한의학에 관련한 유물 등이 전시되어 있습니다. 한국 한의학의 역사적 발전 과정이 시대별로 게시되어 있으며 일반인도 관람이 가능합니다.",https://korean.visitseoul.net/attractions/%EA%B2%BD%ED%9D%AC%EB%8C%80%ED%95%99%EA%B5%90-%ED%95%9C%EC%9D%98%ED%95%99%EC%97%AD%EC%82%AC%EB%B0%95%EB%AC%BC%EA%B4%80/KOP006886,2025.07.20
KOP015109,고궁,고궁을 찾다,,,,,,,,,"조선시대의 궁궐이 다섯 개 남아 방문객들에게 과거 궁중에서의 삶에 대해 짐작하게 해줍니다. 광활한 경복궁부터 감춰진 아름다운 정원이 있는 창덕궁, 좀 더 작고 아늑한 운현궁까지, 궁궐들은 역사를 보전하는데 큰 몫을 하고 있습니다. 조선의 법궁인 경복궁에서 재현하는 본 행사의 시대배경은 수문장 제도가 정비되는 15세기 조선전기로 당시 궁궐을 지키던 군인들의 복식과 무기, 각종 의장물을 그대로 재현했습니다.",https://korean.visitseoul.net/attractions/%EA%B3%A0%EA%B6%81%EC%9D%84-%EC%B0%BE%EB%8B%A4/KOP015109,2025.08.02
KOP002962,미술관&박물관,고려대학교 본관 및 구 중앙도서관,37.591427446,127.02887472,"02841 서울 성북구 안암로 145 (안암동5가, 고려대학교안암캠퍼스)",https://www.korea.ac.kr/sites/ko/index.do,02-3290-1114,고려대학교 개방 기간 내,,,"고려대학교 본관은 서울특별시 성북구 안암동에 있는 고려대학교의 대학본부 건물로 1981년 사적 제285호로 지정되었습니다. 지상 3층의 석조건물로 1932년 일제강점기에 지어진 것으로 알려져 있습니다. 고려대학교 구 중앙도서관은 1981년 사적 제286호로 지정되었습니다. 본관과 옛 중앙도서관 바로 뒤편에 위치한 해송법학도서관은 뛰어난 디자인만으로도 볼거리가 가득합니다. 지하 1층과 지상 1층 대부분은 투명 유리라 주변의 사물이 건물에 비쳐 신비로운 분위기를 자아냅니다. 1층 휴식 공간과 정기간행물실은 개방된 공간으로 이용자들의 선호도가 높습니다. 2층 발코니에서는 본관과 옛 중앙도서관을 한눈에 바라볼 수 있습니다.",https://korean.visitseoul.net/attractions/%EA%B3%A0%EB%A0%A4%EB%8C%80%ED%95%99%EA%B5%90-%EB%B3%B8%EA%B4%80-%EB%B0%8F-%EA%B5%AC-%EC%A4%91%EC%95%99%EB%8F%84%EC%84%9C%EA%B4%80/KOP002962,2025.07.24
KOP026676,미술관&박물관,공근혜갤러리,37.584026783,126.979674916,03049 서울 종로구 삼청로7길 38 (삼청동),https://konggallery.com/,02-738-7776,화요일~토요일 10:30~17:30,"일요일, 월요일",무료,"공근혜갤러리는 2005년 개관 이래로 해외 유명 사진작가들을 국내에 처음 소개하며 한국 사진계에 큰 영향력을 끼친 화랑입니다. 2010년 2월, 삼청동 청와대 춘추관 옆으로 신축 이전하면서 사진뿐만 아닌, 회화, 조각, 비디오, 설치 등 다양한 현대미술을 수용하는 갤러리로 영역을 확장했습니다. 베르나르 포콩(프랑스), 첸 루오 빙(중국), 마이클 케나(영국), 어윈 올라프(네덜란드) 등의 세계적인 작가들과 전속 계약을 맺고 21세기 현대 미술의 흐름을 보여주는 다양한 작품들을 국내에 선보이고 있습니다. 또한 한국을 대표하는 작가들의 전시회를 개최하고 유럽, 미국 등의 화랑들과 지속적인 교류를 통해 국내 작가의 활발한 해외 활동을 돕는 중요한 역할을 해나가고 있는 화랑입니다.",https://korean.visitseoul.net/attractions/%EA%B3%B5%EA%B7%BC%ED%98%9C%EA%B0%A4%EB%9F%AC%EB%A6%AC/KOP026676,2025.07.28
KOP026675,미술관&박물관,공평도시유적전시관,37.571680806,126.983530241,03161 서울 종로구 우정국로 26 (센트로폴리스 지하 1층),https://museum.seoul.go.kr/www/intro/annexIntro/annex_gongpyeong/annex_gongpyeong_01.jsp?sso=ok,02-724-0135,09:00 - 18:00,"월요일, 1월 1일",무료,"공평도시유적전시관은 공평1·2·4지구 도심 재개발 과정에서 출토된 조선시대 16세기 건<물지와 길을 그대로 보존하여 전시한 도시박물관입니다. 전시내용은 개발과 보존의 상생(보존과 공평동 룰), 조선시대 견평방(수도 한양의 중심), 근대 공평동(공평동으로의 변화), 도시유적 아카이브(도시유적 발굴지도) 등 크게 4가지의 주제로 구성되어 있습니다. 공평도시유적전시관이 완성됨으로써 조선시대~근대 도시조직의 원형들이 유적들 속 600여 년에 걸쳐 층층이 쌓여 있는 수많은 이야기를 시민들 앞에 온전한 모습으로 드러냈습니다. 공평도시유적전시관에서 조선시대 한양 사람들의 생활과 삶의 모습을 살펴볼 수 있습니다.",https://korean.visitseoul.net/attractions/%EA%B3%B5%ED%8F%89%EB%8F%84%EC%8B%9C%EC%9C%A0%EC%A0%81%EC%A0%84%EC%8B%9C%EA%B4%80/KOP026675,2025.07.27
KOP020550,미술관&박물관,국립고궁박물관,37.577244461,126.974957212,"03045 서울 종로구 효자로 12 (세종로, 국립고궁박물관)",http://www.gogung.go.kr/main.do,02-3701-7500,월·화·목·금·일요일 10:00~18:00 (입장은 마감 1시간 전까지) 수·토요일 10:00~21:00,"-1월 1일 -설날, 추석 당일",무료,"국립고궁박물관 전경사진입니다. 입구 앞에 올라가는 계단이 있고, 입구에 국립고궁박물관이라고 써있습니다. 국립고궁박물관은 500년 역사를 자랑하는 조선시대의 유물 약 45,000점을 전시합니다. 조선시대의 왕들이 직접 쓴 글씨와 시, 각종 유물들이 전시되어 있습니다. 조선시대의 발명품 측우기, 조선 마지막 왕 순종황제가 탔던    순종황제 어차까지    다양한 유물을 관람할 수 있습니다. 또한 어린이, 청소년, 가족, 성인을 대상으로 왕실문화를 체험할 수 있는 교육 프로그램도 진행하고 있습니다. 국립고궁박물관에서 조선시대의 찬란한 왕실문화와 각종 유물 등을 한눈에 만끽할 수 있습니다.",https://korean.visitseoul.net/attractions/%EA%B5%AD%EB%A6%BD%EA%B3%A0%EA%B6%81%EB%B0%95%EB%AC%BC%EA%B4%80-k/KOP020550,2025.07.24
KOP011893,미술관&박물관,국립국악박물관,37.477718844,127.009818517,06757 서울 서초구 남부순환로 2364,https://www.gugak.go.kr/site/homepage/menu/viewMenu?menuid=001004001001&lang=ko,02-580-3130,10:00~18:00 (입장마감 17:30),"-월요일 (월요일이 휴일일 경우 정상 운영, 익일 화요일 휴관) -1월 1일",무료,"국립국악박물관 건물 외관입니다. 3층 규모의 건물이고, 건물 왼편에 큰 현수막이 걸려있습니다. 현수막은 화요상설공연, 목요상설공연, 그리고 판소리 한마당을 홍보하고 있습니다. 건물 앞에는 넓은 잔디밭이 있습니다. 국립국악원박물관은 우리나라 최초의 국악 전문박물관으로 우리 고유음악의 장점을 배우고 느낄 수 있는 곳입니다. 각종 국악 관련 자료와 유물 6,000여 점을 소장하고 있습니다. 일곱 가지 주제로 꾸며진 6개의 상설 전시관에는 각 주제에 걸맞은 각종 국악기와 영상들이 전시되어 있습니다.",https://korean.visitseoul.net/attractions/%EA%B5%AD%EB%A6%BD%EA%B5%AD%EC%95%85%EB%B0%95%EB%AC%BC%EA%B4%80/KOP011893,2025.07.15
KOP040770,미술관&박물관,국립기상박물관,37.570667269,126.966013846,"03178 서울 종로구 송월길 52 (송월동, 국립기상박물관)",https://science.kma.go.kr/museum,02-2181-0893,10:00 - 18:00,"매주 월요일, 1월 1일, 설날 및 추석 당일",무료,"조선시대부터 근현대까지 우리나라 기상 문화를 연구하고, 보존하는 국내 최초 기상과학역사 박물관입니다. 서양보다 200여 년 앞서 발명된, 세계에서 현존하는 유일한 측우기 ‘공주 충청감영 측우기(公州 忠淸監營 測雨器)’를 소장하고 있습니다. 국립기상박물관이 설립된 이곳 서울기상관측소는 우리나라 근현대 기상 역사의 중심지입니다. 1907년 경성 원남동에서 시작된 근현대 기상관측은 낙원동을 거쳐 이곳 송월동으로 이전하였습니다. 1932년 설립 당시의 건물과 1939년 증축된 건물이 현재까지 유지되어왔고, 1998년 기상청이 서울 동작구로 이전하기 전까지 이곳에서 지속적으로 기상업무를 이어왔습니다. 이러한 연속성으로 2017년 세계기상기구 박물관 건립을 시작한 2016년, 국가기록원에서 보관되어 있던 20세기 측후소 건축도면을 바탕으로 ‘서울기상관측소’를 원형으로 복원하였으며, 4년 간에 걸친 실내외 공사로 2020년 10월 30일에 개관하였습니다. 우리나라 기상의 중심지인 국립기상박물관에서 날씨의 변화와 역사를 감상해보시기 바랍니다.",https://korean.visitseoul.net/attractions/%EA%B5%AD%EB%A6%BD%EA%B8%B0%EC%83%81%EB%B0%95%EB%AC%BC%EA%B4%80-KR/KOP040770,2025.07.28
KOP001644,미술관&박물관,국립민속박물관,37.579497842,126.978764126,"03045 서울 종로구 삼청로 37 (세종로, 국립민속박물관)",http://www.nfm.go.kr,02-3704-3114,3-10월 9:00 ~ 18:00 (17:00까지 입장) 11-2월 9:00 ~ 17:00 (16:00 까지 입장) 야간연장개관 3~10월 매주 토요일 09:00~20:00 (11월~2월 야간연장 미운영),"- 매년 1월1일 - 설, 추석 당일",무료,"국립민속박물관은 우리 선조들의 삶에서 오늘날 우리의 일상생활에 이르기까지 삶을 연구, 보존하며 수집, 전시합니다. 3개의 상설 전시관에서는 한민족생활사, 한국인의 일상, 한국인의 일생을 살펴볼 수 있습니다. 한민족생활사에서는 우리 삶의 터전을 일군 사람들과 그들이 만들어낸 역사의 흔적을 볼 수 있습니다. 한국인의 일상에서는 조선 시대 사람들의 생활 모습을, 한국인의 일생에서는 관혼상제 등 우리나라 사람들이 살며 겪는 생애의 과정을 한눈에 볼 수 있도록 했습니다. 또한 국립민속박물관은 전통 매듭, 공예를 배워보는 간단한 강좌에서부터 박물관 전문 인력을 양성하는 전문가 코스까지 매우 다양한 프로그램을 제공하고 있습니다. 특히 배움의 기회가 적은 이들에게 직접 찾아가는 박물관 교실, 박물관 나들이 등의 프로그램은 많은 호응을 얻고 있습니다. 매주 토요일과 일요일 박물관 대강당이나 앞마당에 가면 전통 무용에서 굿, 국악, 풍물, 택견, 탈놀이 등 전통에 기반을 둔 공연이 펼쳐집니다.",https://korean.visitseoul.net/attractions/%EA%B5%AD%EB%A6%BD%EB%AF%BC%EC%86%8D%EB%B0%95%EB%AC%BC%EA%B4%80/KOP001644,2025.07.24
KOP005130,미술관&박물관,국립어린이민속박물관,37.579497842,126.978764126,"03045 서울 종로구 삼청로 37 (세종로, 국립민속박물관)",https://www.nfm.go.kr/kids,02-3704-3014,09:30 ~ 17:00,"-1월 1일 -설, 추석",무료,"국립어린이민속박물관 입구 사진입니다. 입구 상단에 어린이박물관이라는 글자가 한글과 영문으로 써있습니다. 국립어린이민속박물관에서는 어린이를 대상으로 한국의 전통문화를 직접 배울 수 있는 체험프로그램을 제공합니다. 국립민속박물관 본관 제2전시실 옆에 있으며 입장료는 무료입니다. 월별 이용시간이 달라 방문 전 확인이 필요합니다. 하루 30분씩, 1회당 50명씩 입장이 원칙입니다.",https://korean.visitseoul.net/attractions/%EA%B5%AD%EB%A6%BD%EC%96%B4%EB%A6%B0%EC%9D%B4%EB%AF%BC%EC%86%8D%EB%B0%95%EB%AC%BC%EA%B4%80/KOP005130,2025.06.05
KOP011010,미술관&박물관,국립중앙도서관,37.497595805,127.002928378,서울특별시 서초구 반포대로 201 (반포동),http://www.nl.go.kr,02-590-0500,주간이용: 09:00~18:00 야간이용: 18:00~21:00 (자료실 별 이용시간 상이),"- 정기 휴관: 매월 둘째·넷째 월요일 - 일요일을 제외한 관광서의 공휴일 (※ 설 연휴와 추석 연휴 기간 중의 일요일은 휴관, 야관도서관은 토, 일 휴무) - 기타 관장이 필요하다고 인정하는 날",,"국립중앙도서관은 한국의 지적문화유산을 체계적으로 수집해 보관하고 있는 우리나라 대표 도서관입니다. 본관과 별관으로 이뤄진 현 도서관은 서초공원으로 둘러싸여 조용하고 아름다운 경관을 지닌 것이 특징입니다. 이용객들을 대상으로 견학프로그램도 운영 중입니다.",https://korean.visitseoul.net/attractions/%EA%B5%AD%EB%A6%BD%EC%A4%91%EC%95%99%EB%8F%84%EC%84%9C%EA%B4%80/KOP011010,2025.06.05
KOP020547,미술관&박물관,국립중앙박물관 어린이박물관,37.523909379,126.98032998,"04383 서울 용산구 서빙고로 137 (용산동6가, 국립중앙박물관)",https://www.museum.go.kr/CHILD/main/index.do,02-2077-9647,10:00~17:50 (매월 마지막 주 수요일만 야간개장 18:00~21:00),"-1월 1일 -설날, 추석 당일 -기타 국립중앙박물관장이 지정한 날",무료,"어린이박물관 내부 포토존. 사진틀 모형 하단 부에 어린이 박물관이라는 글자가 적혀있다. 국립중앙박물관 어린이박물관에는 다양한 옛사람들의 생활 모습을 전시하고 있습니다. 옛날 사람들의 집, 의복과 예술, 삶의 지혜 등을 관람할 수 있습니다. 옛날 사람들의 살았던 집에 대해 한 눈에 알아보고, 그릇을 만드는 과정도 전시되어 있습니다. 또한 다양한 모양의 장신구를 관람하고, 옛사람들이 입었던 옷을 입고 금관을 써보는 체험도 할 수 있습니다. 국립중앙어린이박물관은 옛시대의 다양한 유물을 눈으로 보고, 손으로 만지며, 가슴으로 느낄 수 있습니다.",https://korean.visitseoul.net/attractions/%EA%B5%AD%EB%A6%BD%EC%A4%91%EC%95%99%EB%B0%95%EB%AC%BC%EA%B4%80-%EC%96%B4%EB%A6%B0%EC%9D%B4%EB%B0%95%EB%AC%BC%EA%B4%80/KOP020547,2025.07.24
KOP000433,미술관&박물관,국립중앙박물관,37.523909379,126.98032998,04383 서울 용산구 서빙고로 137 (국립중앙박물관),http://www.museum.go.kr/site/main/home,02-2077-9000,"월, 화, 목, 금, 일요일 : 10:00 - 18:00 수, 토요일 : 10:00 - 21:00 옥외 전시장(정원)은 오전 7시부터 오후 10시까지 관람 가능","1월1일, 설날(2.10.), 추석(9.17.) *2024년 기준 상설전시실 정기휴실일 : 매년 4, 11월 첫째 월요일 (2024년 휴실일: 4/1 (월), 11/4 (월)) ※기획전시실(특별전시 종료시 휴실), 어린이박물관, 야외전시장은 정상 개관",무료,"한국 역사와 문화의 정수가 살아 숨 쉬는 국립중앙박물관은 민족의 역사와 뿌리를 간직한 이 시대 최고의 문화 보고이자 역사의 현장입니다. 전시와 교육을 통해 수천 년의 역사를 간직한 42만여 점 소장품들의 이야기를 들려주고, 보다 더 생생한 경험을 위해 디지털 실감 영상과 VR 체험을 제공하고 있습니다. 구석기시대의 소박한 손도끼에서부터 삼국시대의 화려한 금관, 고려 시대의 청자, 조선시대의 회화, 근대의 사진들 나아가 세계 많은 나라들을 소개하는 세계 문화관까지. 가족, 친구, 연인과 함께 국립중앙박물관에서 하루를 보내시는 건 어떠실까요?",https://korean.visitseoul.net/attractions/%EA%B5%AD%EB%A6%BD%EC%A4%91%EC%95%99%EB%B0%95%EB%AC%BC%EA%B4%80/KOP000433,2025.07.23
